Tailwater,Headwater,Flow
2.50,2.51,40.00
2.50,2.52,60.00
2.50,2.54,80.00
2.50,2.57,100.00
2.50,2.60,120.00
2.50,2.63,140.00
2.50,2.67,160.00
2.50,2.71,180.00
2.50,2.76,200.00
2.50,2.81,220.00
2.50,2.87,240.00
2.50,2.93,260.00
2.50,3.00,280.00
2.50,3.07,300.00
2.50,3.14,320.00
2.50,3.22,340.00
2.50,3.29,360.00
2.50,3.38,380.00
2.50,3.46,400.00
2.50,3.55,420.00
2.50,3.63,440.00
2.50,3.73,460.00
2.50,3.82,480.00
2.50,3.91,500.00
2.50,4.00,520.00
2.50,4.10,540.00
2.50,4.20,560.00
2.50,4.29,580.00
2.50,4.39,600.00
2.50,4.49,620.00
2.60,2.60,0.00
2.60,2.60,20.00
2.60,2.61,40.00
2.60,2.62,60.00
2.60,2.64,80.00
2.60,2.66,100.00
2.60,2.69,120.00
2.60,2.72,140.00
2.60,2.75,160.00
2.60,2.80,180.00
2.60,2.84,200.00
2.60,2.89,220.00
2.60,2.94,240.00
2.60,3.00,260.00
2.60,3.06,280.00
2.60,3.13,300.00
2.60,3.19,320.00
2.60,3.26,340.00
2.60,3.34,360.00
2.60,3.42,380.00
2.60,3.50,400.00
2.60,3.58,420.00
2.60,3.66,440.00
2.60,3.75,460.00
2.60,3.84,480.00
2.60,3.93,500.00
2.60,4.02,520.00
2.60,4.11,540.00
2.60,4.21,560.00
2.60,4.30,580.00
2.60,4.40,600.00
2.60,4.49,620.00
2.70,2.70,0.00
2.70,2.70,20.00
2.70,2.71,40.00
2.70,2.72,60.00
2.70,2.74,80.00
2.70,2.76,100.00
2.70,2.78,120.00
2.70,2.81,140.00
2.70,2.84,160.00
2.70,2.88,180.00
2.70,2.92,200.00
2.70,2.97,220.00
2.70,3.02,240.00
2.70,3.07,260.00
2.70,3.13,280.00
2.70,3.19,300.00
2.70,3.25,320.00
2.70,3.32,340.00
2.70,3.39,360.00
2.70,3.46,380.00
2.70,3.54,400.00
2.70,3.62,420.00
2.70,3.70,440.00
2.70,3.78,460.00
2.70,3.87,480.00
2.70,3.95,500.00
2.70,4.04,520.00
2.70,4.13,540.00
2.70,4.22,560.00
2.70,4.31,580.00
2.70,4.40,600.00
2.70,4.50,620.00
2.80,2.80,0.00
2.80,2.80,20.00
2.80,2.81,40.00
2.80,2.82,60.00
2.80,2.83,80.00
2.80,2.85,100.00
2.80,2.87,120.00
2.80,2.90,140.00
2.80,2.93,160.00
2.80,2.97,180.00
2.80,3.01,200.00
2.80,3.05,220.00
2.80,3.09,240.00
2.80,3.14,260.00
2.80,3.20,280.00
2.80,3.25,300.00
2.80,3.31,320.00
2.80,3.38,340.00
2.80,3.44,360.00
2.80,3.51,380.00
2.80,3.59,400.00
2.80,3.66,420.00
2.80,3.74,440.00
2.80,3.82,460.00
2.80,3.90,480.00
2.80,3.98,500.00
2.80,4.06,520.00
2.80,4.15,540.00
2.80,4.24,560.00
2.80,4.33,580.00
2.80,4.42,600.00
2.80,4.51,620.00
2.90,2.90,0.00
2.90,2.90,20.00
2.90,2.91,40.00
2.90,2.92,60.00
2.90,2.93,80.00
2.90,2.95,100.00
2.90,2.97,120.00
2.90,2.99,140.00
2.90,3.02,160.00
2.90,3.06,180.00
2.90,3.09,200.00
2.90,3.13,220.00
2.90,3.17,240.00
2.90,3.22,260.00
2.90,3.27,280.00
2.90,3.32,300.00
2.90,3.38,320.00
2.90,3.44,340.00
2.90,3.50,360.00
2.90,3.57,380.00
2.90,3.64,400.00
2.90,3.71,420.00
2.90,3.78,440.00
2.90,3.86,460.00
2.90,3.93,480.00
2.90,4.01,500.00
2.90,4.09,520.00
2.90,4.18,540.00
2.90,4.26,560.00
2.90,4.35,580.00
2.90,4.44,600.00
2.90,4.53,620.00
3.00,3.00,0.00
3.00,3.00,20.00
3.00,3.01,40.00
3.00,3.02,60.00
3.00,3.03,80.00
3.00,3.05,100.00
3.00,3.07,120.00
3.00,3.09,140.00
3.00,3.12,160.00
3.00,3.15,180.00
3.00,3.18,200.00
3.00,3.22,220.00
3.00,3.26,240.00
3.00,3.30,260.00
3.00,3.35,280.00
3.00,3.40,300.00
3.00,3.45,320.00
3.00,3.51,340.00
3.00,3.57,360.00
3.00,3.63,380.00
3.00,3.69,400.00
3.00,3.76,420.00
3.00,3.83,440.00
3.00,3.90,460.00
3.00,3.98,480.00
3.00,4.05,500.00
3.00,4.13,520.00
3.00,4.21,540.00
3.00,4.29,560.00
3.00,4.37,580.00
3.00,4.46,600.00
3.00,4.55,620.00
3.10,3.10,0.00
3.10,3.10,20.00
3.10,3.11,40.00
3.10,3.12,60.00
3.10,3.13,80.00
3.10,3.14,100.00
3.10,3.16,120.00
3.10,3.18,140.00
3.10,3.21,160.00
3.10,3.24,180.00
3.10,3.27,200.00
3.10,3.30,220.00
3.10,3.34,240.00
3.10,3.38,260.00
3.10,3.43,280.00
3.10,3.47,300.00
3.10,3.52,320.00
3.10,3.58,340.00
3.10,3.63,360.00
3.10,3.69,380.00
3.10,3.75,400.00
3.10,3.82,420.00
3.10,3.88,440.00
3.10,3.95,460.00
3.10,4.02,480.00
3.10,4.09,500.00
3.10,4.17,520.00
3.10,4.25,540.00
3.10,4.32,560.00
3.10,4.41,580.00
3.10,4.49,600.00
3.10,4.57,620.00
3.20,3.20,0.00
